rarity,shikigami,source,page_title,enabled,notes
SP,修羅鬼童丸,moegirl,阴阳师手游:修罗鬼童丸,true,日本語名から簡体字名へ自動変換 / Moegirlで確認済み
SP,初翎山風,moegirl,阴阳师手游:初翎山風,true,既存マッピングをMoegirlで確認済み
SP,因幡かぐや姫,moegirl,阴阳师手游:因幡辉夜姬,true,名称候補からMoegirlページを自動解決: 因幡辉夜姬 / Moegirlで確認済み
SP,夜溟彼岸花,moegirl,阴阳师手游:夜溟彼岸花,true,既存マッピングをMoegirlで確認済み
SP,夢尋山兎,moegirl,阴阳师手游:夢尋山兎,true,既存マッピングをMoegirlで確認済み
SP,夢山白蔵主,moegirl,阴阳师手游:夢山白蔵主,true,既存マッピングをMoegirlで確認済み
SP,夢引き胡蝶の精,moegirl,阴阳师手游:梦引蝴蝶精,true,名称候補からMoegirlページを自動解決: 梦引蝴蝶精
SP,大夜摩天閻魔,moegirl,阴阳师手游:大夜摩天閻魔,true,既存マッピングをMoegirlで確認済み
SP,天剣刃心鬼切,moegirl,阴阳师手游:天剑韧心鬼切,true,名称候補からMoegirlページを自動解決: 天剑韧心鬼切 / Moegirlで確認済み
SP,妙主九命猫,moegirl,阴阳师手游:妙主九命猫,true,既存マッピングをMoegirlで確認済み
SP,尋森シシオ,moegirl,阴阳师手游:寻森小鹿男,true,名称候補からMoegirlページを自動解決: 寻森小鹿男 / Moegirlで確認済み
SP,少羽大天狗,moegirl,阴阳师手游:少羽大天狗,true,既存マッピングをMoegirlで確認済み
SP,待宵姑獲鳥,moegirl,阴阳师手游:待宵姑获鸟,true,日本語名から簡体字名へ自動変換 / Moegirlで確認済み
SP,御怨般若,moegirl,阴阳师手游:御怨般若,true,既存マッピングをMoegirlで確認済み
SP,心友犬神,moegirl,阴阳师手游:心友犬神,true,既存マッピングをMoegirlで確認済み
SP,心狩鬼女紅葉,moegirl,阴阳师手游:心狩鬼女紅叶,true,日本語名から簡体字名へ自動変換 / Moegirlで確認済み
SP,招福座敷童子,moegirl,阴阳师手游:福悦座敷童子,true,名称候補からMoegirlページを自動解決: 福悦座敷童子
SP,時曜滝夜叉姫,moegirl,阴阳师手游:時曜泷夜叉姬,true,日本語名から簡体字名へ自動変換 / Moegirlで確認済み
SP,晴思日和坊,moegirl,阴阳师手游:晴思日和坊,true,既存マッピングをMoegirlで確認済み
SP,暁日恵比寿,moegirl,阴阳师手游:晨晖惠比寿,true,名称候補からMoegirlページを自動解決: 晨晖惠比寿
SP,本真三尾の狐,moegirl,阴阳师手游:本真三尾狐,true,名称候補からMoegirlページを自動解決: 本真三尾狐 / Moegirlで確認済み
SP,流光追月神,moegirl,阴阳师手游:流光追月神,true,既存マッピングをMoegirlで確認済み
SP,浮世青行燈,moegirl,阴阳师手游:浮世青行燈,true,既存マッピングをMoegirlで確認済み
SP,渺念蛍草,moegirl,阴阳师手游:渺念蛍草,true,既存マッピングをMoegirlで確認済み
SP,灼華桃の精,moegirl,阴阳师手游:灼华桃花妖,true,名称候補からMoegirlページを自動解決: 灼华桃花妖 / Moegirlで確認済み
SP,煉獄茨木童子,moegirl,阴阳师手游:煉獄茨木童子,true,既存マッピングをMoegirlで確認済み
SP,燼天玉藻前,moegirl,阴阳师手游:燼天玉藻前,true,既存マッピングをMoegirlで確認済み
SP,瑶音緊那羅,moegirl,阴阳师手游:瑶音緊那罗,true,日本語名から簡体字名へ自動変換 / Moegirlで確認済み
SP,盈虚千姫,moegirl,阴阳师手游:鲸汐千姬,true,名称候補からMoegirlページを自動解決: 鲸汐千姬
SP,神啓荒,moegirl,阴阳师手游:神啓荒,true,既存マッピングをMoegirlで確認済み
SP,神堕オロチ,moegirl,阴阳师手游:神堕八岐大蛇,true,名称候補からMoegirlページを自動解決: 神堕八岐大蛇 / Moegirlで確認済み
SP,神酒星熊童子,moegirl,阴阳师手游:神酿星熊童子,true,名称候補からMoegirlページを自動解決: 神酿星熊童子
SP,禅心雲外鏡,moegirl,阴阳师手游:禅心雲外鏡,true,既存マッピングをMoegirlで確認済み
SP,稲荷御饌津,moegirl,阴阳师手游:稻荷神御馔津,true,名称候補からMoegirlページを自動解決: 稻荷神御馔津 / Moegirlで確認済み
SP,空相面霊気,moegirl,阴阳师手游:空相面霊気,true,既存マッピングをMoegirlで確認済み
SP,絵世花鳥風月,moegirl,阴阳师手游:绘世花鸟卷,true,名称候補からMoegirlページを自動解決: 绘世花鸟卷 / Moegirlで確認済み
SP,縛骨清姫,moegirl,阴阳师手游:縛骨清姬,true,日本語名から簡体字名へ自動変換 / Moegirlで確認済み
SP,聆海金魚姫,moegirl,阴阳师手游:聆海金魚姬,true,日本語名から簡体字名へ自動変換 / Moegirlで確認済み
SP,蒼風一目連,moegirl,阴阳师手游:蒼風一目連,true,既存マッピングをMoegirlで確認済み
SP,蝉氷雪女,moegirl,阴阳师手游:蝉氷雪女,true,既存マッピングをMoegirlで確認済み
SP,蝕月吸血姫,moegirl,阴阳师手游:蝕月吸血姬,true,日本語名から簡体字名へ自動変換 / Moegirlで確認済み
SP,赤影妖刀姫,moegirl,阴阳师手游:赤影妖刀姬,true,日本語名から簡体字名へ自動変換 / Moegirlで確認済み
SP,遥念煙々羅,moegirl,阴阳师手游:遥念烟烟罗,true,名称候補からMoegirlページを自動解決: 遥念烟烟罗 / Moegirlで確認済み
SP,雲上不見岳,moegirl,阴阳师手游:云间不见岳,true,名称候補からMoegirlページを自動解決: 云间不见岳
SP,願紡縁結神,moegirl,阴阳师手游:纺愿缘结神,true,名称候補からMoegirlページを自動解決: 纺愿缘结神 / Moegirlで確認済み
SP,驍浪荒川の主,moegirl,阴阳师手游:骁浪荒川之主,true,名称候補からMoegirlページを自動解決: 骁浪荒川之主 / Moegirlで確認済み
SP,鬼王酒呑童子,moegirl,阴阳师手游:鬼王酒呑童子,true,既存マッピングをMoegirlで確認済み
SP,麓銘大嶽丸,moegirl,阴阳师手游:麓銘大岳丸,true,日本語名から簡体字名へ自動変換 / Moegirlで確認済み
SP,龍吟鈴鹿御前,moegirl,阴阳师手游:龍吟鈴鹿御前,true,既存マッピングをMoegirlで確認済み
SSR,かぐや姫,moegirl,阴阳师手游:辉夜姬,true,名称候補からMoegirlページを自動解決: 辉夜姬 / Moegirlで確認済み
SSR,イザナミ,moegirl,阴阳师手游:伊邪那美,true,名称候補からMoegirlページを自動解決: 伊邪那美 / Moegirlで確認済み
SSR,オロチ,moegirl,阴阳师手游:八岐大蛇,true,名称候補からMoegirlページを自動解決: 八岐大蛇 / Moegirlで確認済み
SSR,シシオ,moegirl,阴阳师手游:小鹿男,true,名称候補からMoegirlページを自動解決: 小鹿男 / Moegirlで確認済み
SSR,一目連,moegirl,阴阳师手游:一目連,true,Moegirlの候補ページを自動確認できませんでした: PARSE_FAILED=2 / Moegirlで確認済み
SSR,不知火,moegirl,阴阳师手游:不知火,true,既存マッピングをMoegirlで確認済み
SSR,不見岳,moegirl,阴阳师手游:不见岳,true,日本語名から簡体字名へ自動変換 / Moegirlで確認済み
SSR,両面仏,moegirl,阴阳师手游:両面仏,true,Moegirlの候補ページを自動確認できませんでした: PARSE_FAILED=3 / Moegirlで確認済み
SSR,千姫,moegirl,阴阳师手游:千姬,true,日本語名から簡体字名へ自動変換 / Moegirlで確認済み
SSR,卑弥呼,moegirl,阴阳师手游:卑弥呼,true,既存マッピングをMoegirlで確認済み
SSR,大天狗,moegirl,阴阳师手游:大天狗,true,既存マッピングをMoegirlで確認済み
SSR,大嶽丸,moegirl,阴阳师手游:大岳丸,true,日本語名から簡体字名へ自動変換 / Moegirlで確認済み
SSR,天照,moegirl,阴阳师手游:天照,true,既存マッピングをMoegirlで確認済み
SSR,妖刀姫,moegirl,阴阳师手游:妖刀姬,true,Moegirlの候補ページを自動確認できませんでした: PARSE_FAILED=2 / Moegirlで確認済み
SSR,孔雀明王,moegirl,阴阳师手游:孔雀明王,true,既存マッピングをMoegirlで確認済み
SSR,季,moegirl,阴阳师手游:季,true,既存マッピングをMoegirlで確認済み
SSR,封陽君,moegirl,阴阳师手游:封陽君,true,既存マッピングをMoegirlで確認済み
SSR,尋香行,moegirl,阴阳师手游:尋香行,true,既存マッピングをMoegirlで確認済み
SSR,山風,moegirl,阴阳师手游:山風,true,既存マッピングをMoegirlで確認済み
SSR,市加美,moegirl,阴阳师手游:市加美,true,既存マッピングをMoegirlで確認済み
SSR,帝釈天,moegirl,阴阳师手游:帝釈天,true,既存マッピングをMoegirlで確認済み
SSR,平将門,moegirl,阴阳师手游:平将門,true,既存マッピングをMoegirlで確認済み
SSR,彼岸花,moegirl,阴阳师手游:彼岸花,true,既存マッピングをMoegirlで確認済み
SSR,御饌津,moegirl,阴阳师手游:御饌津,true,既存マッピングをMoegirlで確認済み
SSR,思金神,moegirl,阴阳师手游:思金神,true,既存マッピングをMoegirlで確認済み
SSR,昆沙門天,moegirl,阴阳师手游:毗沙门天,true,名称候補からMoegirlページを自動解決: 毗沙门天
SSR,月読,moegirl,阴阳师手游:月読,true,既存マッピングをMoegirlで確認済み
SSR,歌留多,moegirl,阴阳师手游:歌留多,true,既存マッピングをMoegirlで確認済み
SSR,滝夜叉姫,moegirl,阴阳师手游:泷夜叉姬,true,日本語名から簡体字名へ自動変換 / Moegirlで確認済み
SSR,瀧,moegirl,阴阳师手游:瀧,true,既存マッピングをMoegirlで確認済み
SSR,猫川,moegirl,阴阳师手游:猫川,true,既存マッピングをMoegirlで確認済み
SSR,玉藻前,moegirl,阴阳师手游:玉藻前,true,既存マッピングをMoegirlで確認済み
SSR,白蔵主,moegirl,阴阳师手游:白蔵主,true,既存マッピングをMoegirlで確認済み
SSR,神無月,moegirl,阴阳师手游:神無月,true,既存マッピングをMoegirlで確認済み
SSR,禍津神,moegirl,阴阳师手游:禍津神,true,既存マッピングをMoegirlで確認済み
SSR,緊那羅,moegirl,阴阳师手游:緊那罗,true,日本語名から簡体字名へ自動変換 / Moegirlで確認済み
SSR,縁結神,moegirl,阴阳师手游:縁結神,true,既存マッピングをMoegirlで確認済み
SSR,花鳥風月,moegirl,阴阳师手游:花鸟卷,true,名称候補からMoegirlページを自動解決: 花鸟卷 / Moegirlで確認済み
SSR,茨木童子,moegirl,阴阳师手游:茨木童子,true,既存マッピングをMoegirlで確認済み
SSR,荒,moegirl,阴阳师手游:荒,true,既存マッピングをMoegirlで確認済み
SSR,荒川の主,moegirl,阴阳师手游:荒川之主,true,名称候補からMoegirlページを自動解決: 荒川之主 / Moegirlで確認済み
SSR,葛葉,moegirl,阴阳师手游:葛叶,true,日本語名から簡体字名へ自動変換 / Moegirlで確認済み
SSR,言霊,moegirl,阴阳师手游:言霊,true,既存マッピングをMoegirlで確認済み
SSR,酒呑童子,moegirl,阴阳师手游:酒呑童子,true,Moegirlの候補ページを自動確認できませんでした: PARSE_FAILED=2 / Moegirlで確認済み
SSR,鈴彦姫,moegirl,阴阳师手游:鈴彦姬,true,日本語名から簡体字名へ自動変換 / Moegirlで確認済み
SSR,鈴鹿御前,moegirl,阴阳师手游:鈴鹿御前,true,既存マッピングをMoegirlで確認済み
SSR,閻魔,moegirl,阴阳师手游:閻魔,true,既存マッピングをMoegirlで確認済み
SSR,阿修羅,moegirl,阴阳师手游:阿修罗,true,日本語名から簡体字名へ自動変換 / Moegirlで確認済み
SSR,雪御前,moegirl,阴阳师手游:雪御前,true,既存マッピングをMoegirlで確認済み
SSR,雪童子,moegirl,阴阳师手游:雪童子,true,Moegirlの候補ページを自動確認できませんでした: PARSE_FAILED=1 / Moegirlで確認済み
SSR,雲外鏡,moegirl,阴阳师手游:雲外鏡,true,既存マッピングをMoegirlで確認済み
SSR,青行燈,moegirl,阴阳师手游:青行燈,true,既存マッピングをMoegirlで確認済み
SSR,面霊気,moegirl,阴阳师手游:面霊気,true,既存マッピングをMoegirlで確認済み
SSR,須佐之男,moegirl,阴阳师手游:須佐之男,true,既存マッピングをMoegirlで確認済み
SSR,食霊,moegirl,阴阳师手游:食霊,true,既存マッピングをMoegirlで確認済み
SSR,飯笥,moegirl,阴阳师手游:飯笥,true,既存マッピングをMoegirlで確認済み
SSR,餓者髑髏,moegirl,阴阳师手游:荒骷髅,true,名称候補からMoegirlページを自動解決: 荒骷髅
SSR,鬼切,moegirl,阴阳师手游:鬼切,true,既存マッピングをMoegirlで確認済み
SSR,鬼童丸,moegirl,阴阳师手游:鬼童丸,true,既存マッピングをMoegirlで確認済み
SSR,鬼金羊,moegirl,阴阳师手游:鬼金羊,true,既存マッピングをMoegirlで確認済み
SSR,龍珏,moegirl,阴阳师手游:龍珏,true,既存マッピングをMoegirlで確認済み
SR,キョンシー兄,moegirl,阴阳师手游:跳跳哥哥,true,名称候補からMoegirlページを自動解決: 跳跳哥哥 / Moegirlで確認済み
SR,一反木綿,moegirl,阴阳师手游:一反木綿,true,既存マッピングをMoegirlで確認済み
SR,万年竹,moegirl,阴阳师手游:万年竹,true,Moegirlの候補ページを自動確認できませんでした: PARSE_FAILED=1 / Moegirlで確認済み
SR,久次良,moegirl,阴阳师手游:久次良,true,既存マッピングをMoegirlで確認済み
SR,二口女,moegirl,阴阳师手游:二口女,true,Moegirlの候補ページを自動確認できませんでした: PARSE_FAILED=1 / Moegirlで確認済み
SR,人面樹,moegirl,阴阳师手游:人面樹,true,既存マッピングをMoegirlで確認済み
SR,以津真天,moegirl,阴阳师手游:以津真天,true,既存マッピングをMoegirlで確認済み
SR,傀儡師,moegirl,阴阳师手游:傀儡師,true,Moegirlの候補ページを自動確認できませんでした: PARSE_FAILED=2 / Moegirlで確認済み
SR,入内雀,moegirl,阴阳师手游:入内雀,true,既存マッピングをMoegirlで確認済み
SR,判官,moegirl,阴阳师手游:判官,true,既存マッピングをMoegirlで確認済み
SR,化鯨,moegirl,阴阳师手游:化鯨,true,既存マッピングをMoegirlで確認済み
SR,匣の少女,moegirl,阴阳师手游:匣中少女,true,名称候補からMoegirlページを自動解決: 匣中少女 / Moegirlで確認済み
SR,吸血姫,moegirl,阴阳师手游:吸血姬,true,日本語名から簡体字名へ自動変換 / Moegirlで確認済み
SR,夜叉,moegirl,阴阳师手游:夜叉,true,既存マッピングをMoegirlで確認済み
