effective_date,announcement_date,rarity,shikigami,stat_scope,stat,old_value,new_value,unit,old_value_known,current_app_scope,review_priority,app_action,source_url,notes
2026-06-24,2026-06-23,SSR,不見岳,initial,critical_damage,130,150,percent,true,true,high,会心DMGの基礎値を更新し最終値計算を回帰テスト,https://www.onmyojigame.jp/news/update/2026/06/23/25566_1305297.html,公式表記は初期会心ダメージ
2026-03-11,2026-03-11,SSR,葛葉,base,speed,90,107,point,true,true,high,基礎素早さを照合・更新,https://www.onmyojigame.jp/news/update/2026/03/11/25566_1290461.html,公式表記は基礎素早さ
2026-01-07,2026-01-06,R,雨女,initial,speed,93,104,point,true,false,low,現在対象外・将来R収録時に反映,https://www.onmyojigame.jp/news/update/2026/01/06/25566_1280415.html,公式表記は初期素早さ
2026-01-07,2026-01-06,SSR,大嶽丸,initial,speed,90,98,point,true,true,high,CSVが初期値か覚醒後値か確認して更新,https://www.onmyojigame.jp/news/update/2026/01/06/25566_1280415.html,公式表記は初期素早さ
2025-06-25,2025-06-24,SP,時曜滝夜叉姫,max_level_base,hp,10026,11939,point,true,true,high,基礎HPを更新し最終値計算を回帰テスト,https://www.onmyojigame.jp/news/update/2025/06/24/25566_1242795.html,最大レベル時の基礎ステータス
2025-06-25,2025-06-24,SP,時曜滝夜叉姫,max_level_base,defense,357,437,point,true,true,high,基礎防御を更新し最終値計算を回帰テスト,https://www.onmyojigame.jp/news/update/2025/06/24/25566_1242795.html,最大レベル時の基礎ステータス
2025-06-25,2025-06-24,SP,時曜滝夜叉姫,max_level_base,speed,120,116,point,true,true,high,基礎素早さを更新し最終値計算を回帰テスト,https://www.onmyojigame.jp/news/update/2025/06/24/25566_1242795.html,最大レベル時の基礎ステータス・下方調整
2025-06-25,2025-06-24,SR,姑獲鳥,base,critical_rate,,50,percent,false,true,high,現行値を照合し会心率を更新,https://www.onmyojigame.jp/news/update/2025/06/24/25566_1242795.html,旧値は公式告知に記載なし
2025-06-25,2025-06-24,SR,姑獲鳥,base,critical_damage,,120,percent,false,true,high,現行値を照合し会心ダメージを更新,https://www.onmyojigame.jp/news/update/2025/06/24/25566_1242795.html,旧値は公式告知に記載なし
2025-05-28,2025-05-27,R,兵俑,base,defense,415,481,point,true,false,low,現在対象外・将来R収録時に反映,https://www.onmyojigame.jp/news/update/2025/05/27/25566_1236904.html,公式表記は基礎防御
2023-08-02,2023-08-01,SP,修羅鬼童丸,base,speed,110,114,point,true,true,high,基礎素早さを照合・更新,https://www.onmyojigame.jp/news/update/2023/08/01/25566_1102347.html,公式表記は基礎素早さ
2023-06-21,2023-06-20,SSR,大天狗,base,speed,,114,point,false,true,high,現行値114を照合・更新,https://www.onmyojigame.jp/news/update/2023/06/20/25566_1094288.html,旧値は公式告知に記載なし
2022-11-23,2022-11-22,SR,絡新婦,awakened_base,speed,,118,point,false,true,high,覚醒後値を保持する設計なら更新,https://www.onmyojigame.jp/news/update/2022/11/22/25566_1053771.html,旧値は公式告知に記載なし
2022-02-23,2022-02-22,SSR,荒,initial,speed,94,99,point,true,true,high,素早さの初期値を照合・更新,https://www.onmyojigame.jp/news/update/2022/02/22/25566_1003459.html,公式表記は初期の素早さ
2021-03-17,2021-03-16,R,天井下,awakening_bonus,effect_resist,,75,percent,false,false,low,現在対象外・覚醒ボーナスとして管理,https://www.onmyojigame.jp/news/update/2021/03/16/25566_937062.html,静的基礎値ではなく覚醒状態の常時効果
2020-02-12,2020-02-11,R,数珠,awakening_bonus,effect_resist,25,40,percent,true,false,low,現在対象外・覚醒ボーナスとして管理,https://www.onmyojigame.jp/news/update/2020/02/11/25566_863509.html,静的基礎値ではなく覚醒効果
2020-02-12,2020-02-11,SR,孟婆,initial,speed,,108,point,false,true,high,初期値と覚醒後値を区別して反映,https://www.onmyojigame.jp/news/update/2020/02/11/25566_863509.html,旧値は公式告知に記載なし
2020-02-12,2020-02-11,SR,孟婆,awakened_base,speed,,118,point,false,true,high,初期値と覚醒後値を区別して反映,https://www.onmyojigame.jp/news/update/2020/02/11/25566_863509.html,旧値は公式告知に記載なし
2017-08-22,2017-08-22,SR,青坊主,awakening_bonus,effect_hit,,0,percent,false,true,,,https://www.onmyojigame.jp/news/update/2017/08/22/25566_707452.html,
